recipe_name,ingredients,instructions
"Grilled Chicken and Vegetable Salad","1 chicken breast, 1 head of lettuce, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1/2 cup cherry tomatoes, 2 tbsp olive oil, Salt and pepper to taste, Juice of 1 lemon","1. Grill chicken breast until fully cooked, then slice. 2. In a large bowl, combine chopped lettuce, bell peppers, and cherry tomatoes. 3. Add grilled chicken slices on top. 4. Drizzle with lemon juice, olive oil, and season with salt and pepper. 5. Toss and serve."
"Pomegranate and Spinach Smoothie","1 cup pomegranate seeds, 1 cup spinach, 1 banana, sliced, 1 cup orange juice, 1/2 cup yogurt, 1 tbsp honey","1. Combine pomegranate seeds, spinach, banana, orange juice, yogurt, and honey in a blender. 2. Blend until smooth. 3. Serve immediately."
"Chicken and Broccoli Stir-Fry","1 chicken breast, sliced, 2 cups broccoli florets, 1 onion, sliced, 1 green bell pepper, sliced, 2 tbsp soy sauce, 2 tbsp olive oil, 1 tbsp lemon juice, Salt and pepper to taste","1. Heat olive oil in a pan over medium-high heat. 2. Add chicken slices and cook until browned. 3. Add onions and cook until translucent. 4. Add broccoli and green bell pepper, stir-fry for 5-7 minutes. 5. Stir in soy sauce and lemon juice, season with salt and pepper. 6. Serve hot."
"Orange and Spinach Smoothie","1 cup spinach, 1 cup orange juice, 1 banana, sliced, 1/2 cup yogurt, 1 tbsp honey","1. Combine spinach, orange juice, banana, yogurt, and honey in a blender. 2. Blend until smooth. 3. Serve immediately."
"Grilled Chicken and Bell Pepper Salad","1 chicken breast, 1 head of lettuce, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1/2 cup cherry tomatoes, 2 tbsp olive oil, Salt and pepper to taste, Juice of 1 lemon","1. Grill chicken breast until fully cooked, then slice. 2. In a large bowl, combine chopped lettuce, bell peppers, and cherry tomatoes. 3. Add grilled chicken slices on top. 4. Drizzle with lemon juice, olive oil, and season with salt and pepper. 5. Toss and serve."
"Pomegranate and Apple Salad","1 red apple, chopped, 1 green apple, chopped, 1 pomegranate, seeds, 2 cups spinach, Juice of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. In a large bowl, combine apples, pomegranate seeds, and spinach. 2. In a small bowl, whisk together lemon juice, olive oil, salt, and pepper. 3. Pour dressing over the salad and toss to combine. 4. Serve immediately."
"Grilled Salmon and Bell Pepper Salad","2 salmon fillets, 1 head of lettuce, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1/2 cup cherry tomatoes, 2 tbsp olive oil, Salt and pepper to taste, Juice of 1 lemon","1. Preheat grill to medium-high heat. 2. Season salmon fillets with salt and pepper. 3. Grill salmon fillets for 5-7 minutes on each side or until cooked through. 4. In a large bowl, combine chopped lettuce, bell peppers, and cherry tomatoes. 5. Add grilled salmon on top. 6. Drizzle with lemon juice, olive oil, and season with salt and pepper. 7. Toss and serve."
"Chicken and Spinach Salad","2 chicken breasts, 2 cups spinach, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1/2 cup cherry tomatoes, 2 tbsp olive oil, Salt and pepper to taste, Juice of 1 lemon","1. Grill chicken breasts until fully cooked, then slice. 2. In a large bowl, combine spinach, bell peppers, and cherry tomatoes. 3. Add grilled chicken slices on top. 4. Drizzle with lemon juice, olive oil, and season with salt and pepper. 5. Toss and serve."
"Lemon Pepper Chicken and Veggies","2 chicken breasts, 1 lemon, sliced, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 2 tbsp olive oil, Salt and pepper to taste","1. Preheat oven to 375°F (190°C). 2. In a baking dish, combine bell peppers and lemon slices. 3. Drizzle with olive oil and season with salt and pepper. 4. Place chicken breasts on top of the vegetables. 5. Bake for 25-30 minutes or until chicken is cooked through. 6. Serve hot."
"Orange and Pomegranate Smoothie","1 cup pomegranate seeds, 1 cup orange juice, 1 banana, sliced, 1/2 cup yogurt, 1 tbsp honey","1. Combine pomegranate seeds, orange juice, banana, yogurt, and honey in a blender. 2. Blend until smooth. 3. Serve immediately."
"Chicken and Spinach Alfredo","2 chicken breasts, diced, 2 cups spinach, 1 onion, chopped, 1 cup heavy cream, 1/2 cup grated Parmesan cheese, 2 tbsp olive oil, Salt and pepper to taste, 1 pound pasta","1. Cook pasta according to package instructions. 2. In a large pan, heat olive oil and cook chicken until browned. 3. Add onions and cook until translucent. 4. Add spinach and cook until wilted. 5. Stir in heavy cream and grated Parmesan cheese. 6. Season with salt and pepper. 7. Combine with cooked pasta and serve hot."
"Lemon Garlic Chicken and Veggies","2 chicken breasts, 2 cloves garlic, minced, 1 lemon, sliced, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 2 tbsp olive oil, Salt and pepper to taste","1. Preheat oven to 375°F (190°C). 2. In a baking dish, combine bell peppers, minced garlic, and lemon slices. 3. Drizzle with olive oil and season with salt and pepper. 4. Place chicken breasts on top of the vegetables. 5. Bake for 25-30 minutes or until chicken is cooked through. 6. Serve hot."
"Grilled Chicken and Spinach Wrap","1 chicken breast, 1 cup spinach, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1/2 cup cherry tomatoes, 2 tbsp olive oil, Salt and pepper to taste, 4 large tortillas","1. Grill chicken breast until fully cooked, then slice. 2. In a large bowl, combine spinach, bell peppers, and cherry tomatoes. 3. Add grilled chicken slices and toss with olive oil, salt, and pepper. 4. Place mixture in tortillas and wrap tightly. 5. Serve immediately."
"Lemon Herb Chicken","2 chicken breasts, 2 cloves garlic, minced, Juice of 1 lemon, 2 tbsp olive oil, 1 tsp dried thyme, Salt and pepper to taste","1. In a small bowl, combine minced garlic, lemon juice, olive oil, dried thyme, salt, and pepper. 2. Place chicken breasts in a baking dish and pour the lemon herb mixture over them. 3. Bake at 375°F (190°C) for 25-30 minutes or until chicken is cooked through. 4. Serve hot."
"Roasted Bell Peppers","2 yellow bell peppers, 2 red bell peppers, 2 green bell peppers, 2 tbsp olive oil, Salt and pepper to taste","1. Preheat oven to 400°F (200°C). 2. Cut bell peppers into quarters and remove seeds. 3. Place bell pepper quarters on a baking sheet. 4. Drizzle with olive oil and season with salt and pepper. 5. Roast for 20-25 minutes or until peppers are tender and slightly charred. 6. Serve hot or use as desired."
"Spinach and Strawberry Salad","2 cups spinach, 1 cup strawberries, sliced, 1/4 cup sliced almonds, Juice of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. In a large bowl, combine spinach, sliced strawberries, and sliced almonds. 2. In a small bowl, whisk together lemon juice, olive oil, salt, and pepper. 3. Pour dressing over the salad and toss gently to combine. 4. Serve immediately."
"Orange Glazed Salmon","2 salmon fillets, 1 orange, zest and juice, 2 tbsp soy sauce, 2 tbsp honey, 1 tbsp olive oil, Salt and pepper to taste","1. In a small bowl, whisk together orange zest, orange juice, soy sauce, honey, olive oil, salt, and pepper. 2. Place salmon fillets in a baking dish and pour the orange glaze over them. 3. Bake at 375°F (190°C) for 15-20 minutes or until salmon is cooked through. 4. Serve hot."
"Chicken and Vegetable Stir-Fry","2 chicken breasts, sliced, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1 onion, sliced, 1 cup broccoli florets, 2 tbsp soy sauce, 2 tbsp olive oil, Juice of 1 lemon, Salt and pepper to taste","1. Heat olive oil in a large pan over medium-high heat. 2. Add chicken slices and cook until browned. 3. Add onions and cook until translucent. 4. Add bell peppers and broccoli, stir-fry for 5-7 minutes. 5. Stir in soy sauce and lemon juice, season with salt and pepper. 6. Serve hot."
"Apple and Spinach Salad","2 cups spinach, 1 red apple, sliced, 1 green apple, sliced, 1/4 cup walnuts, chopped, Juice of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. In a large bowl, combine spinach, sliced apples, and chopped walnuts. 2. In a small bowl, whisk together lemon juice, olive oil, salt, and pepper. 3. Pour dressing over the salad and toss gently to combine. 4. Serve immediately."
"Pomegranate Glazed Salmon","2 salmon fillets, 1/2 cup pomegranate juice, 2 tbsp honey, 1 tbsp soy sauce, 1 tbsp olive oil, Salt and pepper to taste","1. In a small saucepan, combine pomegranate juice, honey, soy sauce, olive oil, salt, and pepper. 2. Bring to a boil, then reduce heat and simmer for 10-15 minutes or until sauce is thickened. 3. Place salmon fillets in a baking dish and brush with the pomegranate glaze. 4. Bake at 375°F (190°C) for 15-20 minutes or until salmon is cooked through. 5. Serve hot."
"Lemon Pepper Salmon","2 salmon fillets, Juice and zest of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. Preheat oven to 375°F (190°C). 2. In a small bowl, combine lemon zest, lemon juice, olive oil, salt, and pepper. 3. Place salmon fillets on a baking sheet and brush with the lemon pepper mixture. 4. Bake for 15-20 minutes or until salmon is cooked through. 5. Serve hot."
"Orange Chicken Stir-Fry","2 chicken breasts, sliced, Juice and zest of 1 orange, 2 tbsp soy sauce, 1 tbsp honey, 1 tbsp olive oil, 1 tsp sesame seeds, Salt and pepper to taste","1. In a small bowl, combine orange zest, orange juice, soy sauce, honey, olive oil, sesame seeds, salt, and pepper. 2. Heat olive oil in a large pan over medium-high heat. 3. Add chicken slices and cook until browned. 4. Pour orange sauce over chicken and stir-fry for 5-7 minutes. 5. Serve hot."
"Spinach and Strawberry Smoothie","2 cups spinach, 1 cup strawberries, 1 banana, sliced, 1 cup orange juice, 1/2 cup yogurt, 1 tbsp honey","1. Combine spinach, strawberries, banana, orange juice, yogurt, and honey in a blender. 2. Blend until smooth. 3. Serve immediately."
"Lemon Herb Salmon","2 salmon fillets, Juice and zest of 1 lemon, 2 cloves garlic, minced, 2 tbsp olive oil, 1 tsp dried dill, Salt and pepper to taste","1. Preheat oven to 375°F (190°C). 2. In a small bowl, combine lemon zest, lemon juice, minced garlic, olive oil, dried dill, salt, and pepper. 3. Place salmon fillets on a baking sheet and brush with the lemon herb mixture. 4. Bake for 15-20 minutes or until salmon is cooked through. 5. Serve hot."
"Orange Glazed Chicken","2 chicken breasts, Juice and zest of 1 orange, 2 tbsp soy sauce, 2 tbsp honey, 1 tbsp olive oil, Salt and pepper to taste","1. In a small bowl, combine orange zest, orange juice, soy sauce, honey, olive oil, salt, and pepper. 2. Place chicken breasts in a baking dish and pour the orange glaze over them. 3. Bake at 375°F (190°C) for 25-30 minutes or until chicken is cooked through. 4. Serve hot."
"Strawberry Spinach Salad","2 cups spinach, 1 cup strawberries, sliced, 1/4 cup sliced almonds, Juice of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. In a large bowl, combine spinach, sliced strawberries, and sliced almonds. 2. In a small bowl, whisk together lemon juice, olive oil, salt, and pepper. 3. Pour dressing over the salad and toss gently to combine. 4. Serve immediately."
"Lemon Garlic Salmon","2 salmon fillets, 2 cloves garlic, minced, Juice and zest of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. Preheat oven to 375°F (190°C). 2. In a small bowl, combine minced garlic, lemon zest, lemon juice, olive oil, salt, and pepper. 3. Place salmon fillets on a baking sheet and brush with the lemon garlic mixture. 4. Bake for 15-20 minutes or until salmon is cooked through. 5. Serve hot."
"Orange Chicken Salad","2 chicken breasts, 1 head of lettuce, Juice and zest of 1 orange, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1/2 cup cherry tomatoes, 2 tbsp olive oil, Salt and pepper to taste","1. Grill chicken breasts until fully cooked, then slice. 2. In a large bowl, combine chopped lettuce, bell peppers, and cherry tomatoes. 3. Add grilled chicken slices on top. 4. Drizzle with orange zest, orange juice, olive oil, salt, and pepper. 5. Toss and serve."
"Pomegranate Chicken","2 chicken breasts, 1/2 cup pomegranate seeds, Juice of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. Preheat oven to 375°F (190°C). 2. In a small bowl, combine pomegranate seeds, lemon juice, olive oil, salt, and pepper. 3. Place chicken breasts in a baking dish and pour the pomegranate mixture over them. 4. Bake for 25-30 minutes or until chicken is cooked through. 5. Serve hot."
"Salmon and Broccoli Stir-Fry", "3 salmon filets, 1 cup broccoli, 2 cups mushrooms, 2 onions", "1. Cut salmon into bite-sized pieces. 2. Heat oil in a pan and stir-fry salmon until cooked through. 3. Add chopped broccoli and sliced mushrooms to the pan. 4. Stir-fry until vegetables are tender. 5. Season with soy sauce and serve hot."
"Roasted Vegetable Salad", "1 cup lettuce, 2 yellow bell pepper, 1 red bell pepper, 2 cup cherry tomatoes, 1 onion, 2 cup mushrooms", "1. Preheat oven to 400°F (200°C). 2. Chop bell peppers, cherry tomatoes, onion, and mushrooms. 3. Toss vegetables with olive oil, salt, and pepper. 4. Roast in the oven for 20-25 minutes until vegetables are tender and slightly charred. 5. Serve roasted vegetables over a bed of lettuce with your choice of dressing."
"Strawberry Banana Salad","2 cups spinach, 1 cup strawberries, sliced, 1 banana, sliced, 1/4 cup chopped walnuts, Juice of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. In a large bowl, combine spinach, sliced strawberries, sliced banana, and chopped walnuts. 2. In a small bowl, whisk together lemon juice, olive oil, salt, and pepper."
